DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161310335,4/20/2016,4/20/2016,650,13,Newton,1365,210,ROBBERY,1822 0432 0448 0344 0305 0416 0429 0216,49,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,COMPTON                      AV,56TH                         ST,"(33.9994, -118.2499)",90011
161310336,4/20/2016,4/18/2016,1100,13,Newton,1362,900,VIOLATION OF COURT ORDER,913,18,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900,946,,,5100    WALL                         ST,,"(33.9965, -118.2718)",90011
161310337,4/20/2016,4/20/2016,1050,13,Newton,1344,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1309 1402 0432,0,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,998,,,42ND                         PL,MCKINLEY                     AV,"(34.0067, -118.2609)",90011
161310340,4/19/2016,4/19/2016,1830,13,Newton,1333,761,BRANDISH WEAPON,0432 0334 0605 0202 1313 0319 1822 1309 1310 0919,45,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,761,,,,JEFFERSON                    BL,AVALON                       BL,"(34.0154, -118.2653)",90011
161310341,4/20/2016,1/4/2016,800,13,Newton,1309,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1900 E  WASHINGTON                   BL,,"(34.02, -118.2395)",90021
161310343,4/19/2016,4/19/2016,1515,13,Newton,1391,888,TRESPASSING,432,0,M,B,301,GAS STATION,,,IC,Invest Cont,888,,,,300 W  GAGE                         AV,,"(33.9824, -118.2783)",90003
161310335,4/20/2016,4/20/2016,650,13,Newton,1365,210,ROBBERY,1822 0432 0448 0344 0305 0416 0429 0216,49,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,COMPTON                      AV,56TH                         ST,"(33.9994, -118.2499)",90011
161310336,4/20/2016,4/18/2016,1100,13,Newton,1362,900,VIOLATION OF COURT ORDER,913,18,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900,946,,,5100    WALL                         ST,,"(33.9965, -118.2718)",90011
161310337,4/20/2016,4/20/2016,1050,13,Newton,1344,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1309 1402 0432,0,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,998,,,42ND                         PL,MCKINLEY                     AV,"(34.0067, -118.2609)",90011
161310340,4/19/2016,4/19/2016,1830,13,Newton,1333,761,BRANDISH WEAPON,0432 0334 0605 0202 1313 0319 1822 1309 1310 0919,45,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,761,,,,JEFFERSON                    BL,AVALON                       BL,"(34.0154, -118.2653)",90011
