DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161800596,2/7/2016,2/6/2016,2200,18,Southeast,1824,761,BRANDISH WEAPON,0334 1402 0421 0906 0371 0329,56,M,B,203,OTHER BUSINESS,302,BLUNT INSTRUMENT,AA,Adult Arrest,761,,,,10200 S  CENTRAL                      AV,,"(33.9441, -118.2541)",90002
161800597,2/9/2016,2/7/2016,1800,18,Southeast,1822,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0416,8,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627,,,,100 E  97TH                         ST,,"(33.9483, -118.2739)",90003
161800600,2/10/2016,2/10/2016,2230,18,Southeast,1802,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0553 1258 0400 0416,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,,,,300 W  90TH                         ST,,"(33.9551, -118.2782)",90003
161800601,2/11/2016,2/11/2016,1705,18,Southeast,1821,946,OTHER MISCELLANEOUS CRIME,1259 0908 1402,16,F,B,101,STREET,,,IC,Invest Cont,946,,,,95TH                         ST,FIGUEROA                     ST,"(33.9501, -118.2827)",90044
161800602,2/11/2016,2/11/2016,1950,18,Southeast,1846,900,VIOLATION OF COURT ORDER,1816,21,M,B,101,STREET,,,AA,Adult Arrest,900,,,,11200    ZAMORA                       AV,,"(33.9331, -118.2511)",90059
161800603,2/11/2016,2/11/2016,1845,18,Southeast,1826,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0216 0325 0344 1402,24,M,O,403,DRUG STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,442,,,,1600 E  103RD                        ST,,"(33.9485, -118.2461)",90002
161800605,2/13/2016,2/12/2016,1300,18,Southeast,1842,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,33,M,H,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740,,,,200 E  112TH                        ST,,"(33.933, -118.2717)",90061
161800607,2/13/2016,2/13/2016,415,18,Southeast,1862,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2002 0416 1402,20,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,100 E  120TH                        ST,,"(33.9237, -118.2739)",90061
161800608,2/15/2016,2/7/2016,1330,18,Southeast,1829,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552,4,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",301,BELT FLAILING INSTRUMENT/CHAIN,AA,Adult Arrest,627,,,,2100 E  102ND                        ST,,"(33.9439, -118.2346)",90002
161800610,2/13/2016,2/13/2016,415,18,Southeast,1862,435,LYNCHING,1501 1212,0,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,435,,,,100 E  120TH                        ST,,"(33.9237, -118.2739)",90061
161800611,2/13/2016,2/13/2016,415,18,Southeast,1862,435,LYNCHING,1212,0,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,435,,,,100 E  120TH                        ST,,"(33.9237, -118.2739)",90061
161800612,2/13/2016,2/13/2016,415,18,Southeast,1862,946,OTHER MISCELLANEOUS CRIME,400,0,M,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,946,,,,100 E  120TH                        ST,,"(33.9237, -118.2739)",90061
161800613,2/16/2016,2/16/2016,800,18,Southeast,1823,310,BURGLARY,1822 0358 1607 0344,37,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,400 E  CENTURY,,"(33.9456, -118.2673)",90003
